WKT,name,description
"POLYGON ((106.8896325 -6.3015457, 106.8896217 -6.3023881, 106.8913598 -6.3024094, 106.8912954 -6.301535, 106.8896325 -6.3015457))",Taman Mini Indonesia Indah,
"POLYGON ((106.8835498 -6.2986846, 106.8796016 -6.3053816, 106.8928624 -6.3056375, 106.8984843 -6.3086234, 106.9045354 -6.3083248, 106.9061232 -6.3031635, 106.9043637 -6.2990258, 106.8958665 -6.2975329, 106.8919183 -6.2987699, 106.8835498 -6.2986846))",Area Taman Mini,
