nama,latitude, longitude
Yogyakarta,-7.7956,110.3695
Sleman,-7.6810,110.5092
Bantul,-7.9472,110.3294
Gunungkidul,-8.0478,110.4418
Kulon Progo,-7.9070,110.1620
Kota Yogyakarta (Kota),-7.7956,110.3695
