name,latitude,longitude
DKI JAKARTA, 6.1745, 106.8227
JAWA BARAT, -6.88917, 107.64047
JAWA TENGAH, -7.30324, 110.00441
DI YOGYAKARTA, 7.7956,110.3695
JAWA TIMUR, -6.96851, 113.98005
BANTEN, -6.44538, 106.13756
BALI, -8.23566, 115.12239
