name,latitude,longitude
SULAWESI UTARA, 0.65557, 124.09015
SULAWESI TENGAH, -1.69378, 120.80886
SULAWESI SELATAN, -3.64467, 119.94719
SULAWESI TENGGARA, -3.54912, 121.72796
